"Family","Father","Mother","Gender","Height","Kids"
"106","69.5","66.0","M","70.5","7"
"106","69.5","66.0","M","70.5","7"
"106","69.5","66.0","F","66.5","7"
"106","69.5","66.0","F","65.5","7"
"106","69.5","66.0","F","64.5","7"
"107","69.0","66.0","M","73.0","9"
"107","69.0","66.0","M","72.0","9"
"107","69.0","66.0","M","69.0","9"
"107","69.0","66.0","M","69.0","9"
"107","69.0","66.0","F","66.5","9"
"107","69.0","66.0","F","65.5","9"
"107","69.0","66.0","F","65.5","9"
"107","69.0","66.0","F","65.0","9"
"107","69.0","66.0","F","64.0","9"
"108","69.0","65.0","M","70.0","7"
"108","69.0","65.0","M","68.5","7"
"108","69.0","65.0","M","67.0","7"
"108","69.0","65.0","F","65.0","7"
"108","69.0","65.0","F","64.0","7"
"108","69.0","65.0","F","63.5","7"
"108","69.0","65.0","F","61.0","7"
"109","69.5","64.5","M","69.7","7"
"109","69.5","64.5","M","68.0","7"
"109","69.5","64.5","M","60.0","7"
"109","69.5","64.5","F","65.2","7"
"109","69.5","64.5","F","64.5","7"
"109","69.5","64.5","F","63.7","7"
"109","69.5","64.5","F","60.0","7"
"110","69.2","64.0","M","71.7","4"
"110","69.2","64.0","M","66.5","4"
"110","69.2","64.0","F","65.0","4"
"110","69.2","64.0","F","63.5","4"
"112","69.0","63.0","M","69.0","3"
"112","69.0","63.0","F","67.5","3"
"112","69.0","63.0","F","63.5","3"
"113","69.0","63.0","M","72.0","1"
"114","69.0","63.0","M","73.0","6"
"114","69.0","63.0","M","70.0","6"
"114","69.0","63.0","M","70.0","6"
"114","69.0","63.0","M","64.0","6"
"114","69.0","63.0","F","66.0","6"
"114","69.0","63.0","F","62.0","6"
"115","69.0","63.5","M","70.5","7"
"115","69.0","63.5","M","67.0","7"
"115","69.0","63.5","M","66.0","7"
"115","69.0","63.5","F","65.0","7"
"115","69.0","63.5","F","63.0","7"
"115","69.0","63.5","F","62.0","7"
"115","69.0","63.5","F","61.0","7"
"116","69.0","63.5","M","70.5","3"
"116","69.0","63.5","F","63.7","3"
"116","69.0","63.5","F","63.0","3"
"117","69.7","62.0","F","62.5","1"
"118","69.5","62.0","M","73.0","3"
"118","69.5","62.0","M","72.0","3"
"118","69.5","62.0","M","69.0","3"
"119","69.0","62.0","M","73.0","5"
"119","69.0","62.0","M","71.0","5"
"119","69.0","62.0","M","71.0","5"
"119","69.0","62.0","M","69.0","5"
"119","69.0","62.0","F","63.0","5"
"121","69.0","62.5","M","71.0","8"
"121","69.0","62.5","M","70.0","8"
"121","69.0","62.5","M","70.0","8"
"121","69.0","62.5","M","69.0","8"
"121","69.0","62.5","F","63.5","8"
"121","69.0","62.5","F","62.5","8"
"121","69.0","62.5","F","62.5","8"
"121","69.0","62.5","F","62.0","8"
"122","69.0","62.0","M","72.0","4"
"122","69.0","62.0","M","68.0","4"
"122","69.0","62.0","F","66.0","4"
"122","69.0","62.0","F","66.0","4"
"123","69.5","61.0","M","70.0","5"
"123","69.5","61.0","M","69.5","5"
"123","69.5","61.0","M","69.0","5"
"123","69.5","61.0","F","63.0","5"
"123","69.5","61.0","F","62.0","5"
"124","69.0","61.0","M","68.0","9"
"124","69.0","61.0","M","68.0","9"
"124","69.0","61.0","M","67.5","9"
"124","69.0","61.0","M","64.0","9"
"124","69.0","61.0","M","63.0","9"
"124","69.0","61.0","M","63.0","9"
"124","69.0","61.0","F","63.5","9"
"124","69.0","61.0","F","62.0","9"
"124","69.0","61.0","F","62.0","9"
"125","69.0","60.0","M","70.5","3"
"125","69.0","60.0","F","68.0","3"
"125","69.0","60.0","F","62.5","3"
"126","69.0","60.0","M","69.0","4"
"126","69.0","60.0","M","66.0","4"
"126","69.0","60.0","F","61.7","4"
"126","69.0","60.0","F","60.5","4"
"127","69.0","60.5","M","69.5","1"
"128","68.7","70.5","M","71.0","2"
"128","68.7","70.5","F","61.7","2"
"129","68.5","67.0","M","73.0","3"
"129","68.5","67.0","M","71.0","3"
"129","68.5","67.0","F","67.0","3"
"130","68.5","66.5","M","70.0","11"
"130","68.5","66.5","M","69.0","11"
"130","68.5","66.5","M","69.0","11"
"130","68.5","66.5","M","68.7","11"
"130","68.5","66.5","M","68.5","11"
"130","68.5","66.5","M","68.5","11"
"130","68.5","66.5","M","68.0","11"
"130","68.5","66.5","M","68.0","11"
"130","68.5","66.5","M","68.0","11"
"130","68.5","66.5","F","63.2","11"
"131","68.0","65.0","M","67.5","2"
"131","68.0","65.0","M","66.0","2"
"132","68.0","65.5","M","66.0","2"
"132","68.0","65.5","F","64.0","2"
"133","68.0","65.5","M","71.7","7"
"133","68.0","65.5","M","71.5","7"
"133","68.0","65.5","M","70.7","7"
"133","68.0","65.5","M","65.5","7"
"133","68.0","65.5","F","66.5","7"
"133","68.0","65.5","F","65.2","7"
"133","68.0","65.5","F","61.5","7"
"134","68.0","65.0","M","72.0","4"
"134","68.0","65.0","M","72.0","4"
"134","68.0","65.0","F","68.0","4"
"134","68.0","65.0","F","66.0","4"
"135","68.5","65.0","M","69.2","8"
"135","68.5","65.0","M","68.0","8"
"135","68.5","65.0","M","66.0","8"
"135","68.5","65.0","M","66.0","8"
"135","68.5","65.0","F","62.0","8"
"135","68.5","65.0","F","61.5","8"
"135","68.5","65.0","F","61.0","8"
"135","68.5","65.0","F","60.0","8"
"136","68.0","64.0","M","71.0","10"
"136","68.0","64.0","M","68.0","10"
"136","68.0","64.0","M","68.0","10"
"136","68.0","64.0","M","67.0","10"
"136","68.0","64.0","F","65.0","10"
"136","68.0","64.0","F","64.0","10"
"136","68.0","64.0","F","63.0","10"
"136","68.0","64.0","F","63.0","10"
"136","68.0","64.0","F","62.0","10"
"136","68.0","64.0","F","61.0","10"
"137","68.0","64.0","M","66.0","4"
"137","68.0","64.0","M","63.0","4"
"137","68.0","64.0","F","65.5","4"
"137","68.0","64.0","F","62.0","4"
"138","68.0","64.0","M","71.2","5"
"138","68.0","64.0","M","71.2","5"
"138","68.0","64.0","M","69.0","5"
"138","68.0","64.0","M","68.5","5"
"138","68.0","64.0","F","62.5","5"
"139","68.0","64.5","F","62.0","1"
"140","68.0","64.0","M","69.0","10"
"140","68.0","64.0","M","67.0","10"
"140","68.0","64.0","M","66.0","10"
"140","68.0","64.0","F","66.0","10"
"140","68.0","64.0","F","66.0","10"
"140","68.0","64.0","F","65.0","10"
"140","68.0","64.0","F","65.0","10"
"140","68.0","64.0","F","65.0","10"
"140","68.0","64.0","F","64.0","10"
"140","68.0","64.0","F","63.0","10"
"141","68.0","63.0","M","70.5","8"
"141","68.0","63.0","M","70.0","8"
"141","68.0","63.0","M","68.0","8"
"141","68.0","63.0","M","66.0","8"
"141","68.0","63.0","M","66.0","8"
"141","68.0","63.0","F","66.0","8"
"141","68.0","63.0","F","62.0","8"
"141","68.0","63.0","F","61.5","8"
"142","68.5","63.5","M","73.5","4"
"142","68.5","63.5","M","70.0","4"
"142","68.5","63.5","M","69.5","4"
"142","68.5","63.5","F","65.5","4"
"143","68.0","63.0","M","67.0","1"
"144","68.0","63.0","M","70.0","4"
"144","68.0","63.0","M","68.0","4"
"144","68.0","63.0","F","64.5","4"
"144","68.0","63.0","F","64.0","4"
"145","68.0","63.0","M","71.0","8"
"145","68.0","63.0","M","68.0","8"
"145","68.0","63.0","M","66.0","8"
"145","68.0","63.0","M","65.5","8"
"145","68.0","63.0","M","65.0","8"
"145","68.0","63.0","F","63.0","8"
"145","68.0","63.0","F","62.0","8"
"145","68.0","63.0","F","62.0","8"
"146","68.0","63.0","M","67.0","6"
"146","68.0","63.0","M","67.0","6"
"146","68.0","63.0","M","66.0","6"
"146","68.0","63.0","F","64.0","6"
"146","68.0","63.0","F","63.5","6"
"146","68.0","63.0","F","61.0","6"
"147","68.5","63.5","M","68.2","1"
"148","68.0","63.0","M","70.0","1"
"149","68.2","63.5","M","70.0","5"
"149","68.2","63.5","M","69.0","5"
"149","68.2","63.5","M","67.0","5"
"149","68.2","63.5","M","65.5","5"
"149","68.2","63.5","F","64.5","5"
"150","68.0","62.5","M","68.5","1"
"151","68.7","62.0","M","67.7","2"
"151","68.7","62.0","F","61.7","2"
"152","68.0","62.5","M","66.5","1"
"153","68.0","61.0","M","68.5","5"
"153","68.0","61.0","M","68.0","5"
"153","68.0","61.0","M","64.0","5"
"153","68.0","61.0","F","63.5","5"
"153","68.0","61.0","F","63.0","5"
"154","68.0","60.2","M","66.7","1"
"155","68.0","60.0","M","64.0","7"
"155","68.0","60.0","F","61.0","7"
"155","68.0","60.0","F","61.0","7"
"155","68.0","60.0","F","60.0","7"
"155","68.0","60.0","F","60.0","7"
"155","68.0","60.0","F","60.0","7"
"155","68.0","60.0","F","56.0","7"
"156","68.0","60.0","M","67.5","4"
"156","68.0","60.0","M","67.0","4"
"156","68.0","60.0","M","66.5","4"
"156","68.0","60.0","F","60.0","4"
"157","68.5","59.0","M","69.0","1"
"158","68.0","59.0","M","68.0","10"
"158","68.0","59.0","M","65.0","10"
"158","68.0","59.0","M","64.7","10"
"158","68.0","59.0","M","64.0","10"
"158","68.0","59.0","M","64.0","10"
"158","68.0","59.0","M","63.0","10"
"158","68.0","59.0","F","65.0","10"
"158","68.0","59.0","F","65.0","10"
"158","68.0","59.0","F","62.0","10"
"158","68.0","59.0","F","61.0","10"
"159","67.0","66.2","M","72.7","5"
"159","67.0","66.2","M","72.7","5"
"159","67.0","66.2","M","71.5","5"
"159","67.0","66.2","F","65.5","5"
"159","67.0","66.2","F","63.5","5"
"160","67.0","66.5","M","71.0","1"
"162","67.0","65.0","M","69.7","6"
"162","67.0","65.0","M","67.5","6"
"162","67.0","65.0","F","65.5","6"
"162","67.0","65.0","F","65.0","6"
"162","67.0","65.0","F","64.5","6"
"162","67.0","65.0","F","63.5","6"
"163","67.0","65.5","M","70.0","5"
"163","67.0","65.5","M","69.0","5"
"163","67.0","65.5","F","65.5","5"
"163","67.0","65.5","F","65.5","5"
"163","67.0","65.5","F","63.0","5"
"164","67.0","65.5","M","70.0","4"
"164","67.0","65.5","M","67.7","4"
"164","67.0","65.5","F","63.0","4"
"164","67.0","65.5","F","60.0","4"
"165","67.0","65.0","M","65.0","3"
"165","67.0","65.0","F","62.0","3"
"165","67.0","65.0","F","62.0","3"
"166","67.5","65.0","M","71.0","11"
"166","67.5","65.0","M","69.0","11"
"166","67.5","65.0","F","64.0","11"
"166","67.5","65.0","F","64.0","11"
"166","67.5","65.0","F","63.0","11"
"166","67.5","65.0","F","63.0","11"
"166","67.5","65.0","F","63.0","11"
"166","67.5","65.0","F","63.0","11"
"166","67.5","65.0","F","63.0","11"
"166","67.5","65.0","F","62.5","11"
"166","67.5","65.0","F","62.0","11"
"167","67.0","64.0","M","71.5","4"
"167","67.0","64.0","M","70.0","4"
"167","67.0","64.0","M","67.0","4"
"167","67.0","64.0","M","67.0","4"
"168","67.0","63.5","M","71.0","8"
"168","67.0","63.5","M","70.2","8"
"168","67.0","63.5","M","69.2","8"
"168","67.0","63.5","M","68.5","8"
"168","67.0","63.5","M","68.0","8"
"168","67.0","63.5","M","67.0","8"
"168","67.0","63.5","M","65.5","8"
"168","67.0","63.5","F","63.5","8"
"169","67.0","63.0","M","69.0","3"
"169","67.0","63.0","M","68.0","3"
"169","67.0","63.0","F","63.0","3"
"170","67.5","62.0","M","70.0","5"
"170","67.5","62.0","M","69.5","5"
"170","67.5","62.0","M","69.0","5"
"170","67.5","62.0","M","68.5","5"
"170","67.5","62.0","F","66.0","5"
"171","67.0","61.0","M","67.0","1"
"172","66.0","67.0","M","70.5","8"
"172","66.0","67.0","M","70.5","8"
"172","66.0","67.0","M","67.0","8"
"172","66.0","67.0","M","66.0","8"
"172","66.0","67.0","M","66.0","8"
"172","66.0","67.0","F","62.0","8"
"172","66.0","67.0","F","62.0","8"
"172","66.0","67.0","F","61.5","8"
"173","66.0","67.0","M","72.0","9"
"173","66.0","67.0","M","65.0","9"
"173","66.0","67.0","M","65.0","9"
"173","66.0","67.0","F","67.0","9"
"173","66.0","67.0","F","64.0","9"
"173","66.0","67.0","F","64.0","9"
"173","66.0","67.0","F","62.0","9"
"173","66.0","67.0","F","60.0","9"
"173","66.0","67.0","F","60.0","9"
"174","66.0","66.0","M","66.0","5"
"174","66.0","66.0","M","65.0","5"
"174","66.0","66.0","F","67.0","5"
"174","66.0","66.0","F","66.5","5"
"174","66.0","66.0","F","65.5","5"
"175","66.0","66.0","M","72.0","6"
"175","66.0","66.0","M","68.0","6"
"175","66.0","66.0","F","66.0","6"
"175","66.0","66.0","F","65.0","6"
"175","66.0","66.0","F","62.0","6"
"175","66.0","66.0","F","61.0","6"
"176","66.5","65.0","M","68.7","8"
"176","66.5","65.0","M","68.5","8"
"176","66.5","65.0","M","66.5","8"
"176","66.5","65.0","M","64.5","8"
"176","66.5","65.0","F","62.5","8"
"176","66.5","65.0","F","60.5","8"
"176","66.5","65.0","F","60.5","8"
"176","66.5","65.0","F","57.5","8"
"177","66.0","65.5","M","72.0","5"
"177","66.0","65.5","M","71.0","5"
"177","66.0","65.5","M","67.0","5"
"177","66.0","65.5","F","66.0","5"
"177","66.0","65.5","F","65.0","5"
"178","66.0","63.0","M","70.0","1"
"179","66.0","63.5","F","64.5","2"
"179","66.0","63.5","F","62.0","2"
"180","66.5","63.0","M","67.2","6"
"180","66.5","63.0","M","67.0","6"
"180","66.5","63.0","M","65.0","6"
"180","66.5","63.0","F","65.0","6"
"180","66.5","63.0","F","65.0","6"
"180","66.5","63.0","F","63.0","6"
"181","66.5","62.5","M","70.0","7"
"181","66.5","62.5","M","68.0","7"
"181","66.5","62.5","F","63.5","7"
"181","66.5","62.5","F","62.5","7"
"181","66.5","62.5","F","62.5","7"
"181","66.5","62.5","F","62.5","7"
"181","66.5","62.5","F","62.5","7"
"182","66.0","61.5","M","70.0","1"
"183","66.0","60.0","M","68.0","4"
"183","66.0","60.0","M","67.0","4"
"183","66.0","60.0","M","65.0","4"
"183","66.0","60.0","F","60.0","4"
"184","66.0","60.0","M","65.0","1"
"185","66.0","59.0","M","68.0","15"
"185","66.0","59.0","M","67.0","15"
"185","66.0","59.0","M","66.5","15"
"185","66.0","59.0","M","66.0","15"
"185","66.0","59.0","M","65.7","15"
"185","66.0","59.0","M","65.5","15"
"185","66.0","59.0","M","65.0","15"
"185","66.0","59.0","F","65.0","15"
"185","66.0","59.0","F","64.0","15"
"185","66.0","59.0","F","63.0","15"
"185","66.0","59.0","F","62.0","15"
"185","66.0","59.0","F","61.0","15"
"185","66.0","59.0","F","60.0","15"
"185","66.0","59.0","F","58.0","15"
"185","66.0","59.0","F","57.0","15"
"186","65.0","67.0","M","66.5","4"
"186","65.0","67.0","M","66.0","4"
"186","65.0","67.0","M","66.0","4"
"186","65.0","67.0","F","65.0","4"
"187","65.0","67.0","F","63.0","1"
"188","65.0","66.0","M","63.0","4"
"188","65.0","66.0","F","63.0","4"
"188","65.0","66.0","F","63.0","4"
"188","65.0","66.0","F","60.0","4"
"190","65.0","65.0","M","69.0","9"
"190","65.0","65.0","M","68.0","9"
"190","65.0","65.0","M","68.0","9"
"190","65.0","65.0","F","65.0","9"
"190","65.0","65.0","F","65.0","9"
"190","65.0","65.0","F","62.0","9"
"190","65.0","65.0","F","62.0","9"
"190","65.0","65.0","F","61.0","9"
"190","65.0","65.0","F","59.0","9"
"191","65.0","65.5","M","70.7","2"
"191","65.0","65.5","F","65.5","2"
"192","65.0","65.0","M","69.2","6"
"192","65.0","65.0","M","69.0","6"
"192","65.0","65.0","M","68.0","6"
"192","65.0","65.0","M","67.7","6"
"192","65.0","65.0","F","64.5","6"
"192","65.0","65.0","F","60.5","6"
"193","65.0","64.0","M","67.0","6"
"193","65.0","64.0","M","67.0","6"
"193","65.0","64.0","F","64.0","6"
"193","65.0","64.0","F","64.0","6"
"193","65.0","64.0","F","62.5","6"
"193","65.0","64.0","F","60.5","6"
"194","65.0","63.0","M","70.0","2"
"194","65.0","63.0","F","63.0","2"
"195","65.0","63.0","M","66.0","3"
"195","65.0","63.0","M","66.0","3"
"195","65.0","63.0","F","63.0","3"
"196","65.5","63.0","M","71.0","4"
"196","65.5","63.0","M","71.0","4"
"196","65.5","63.0","M","69.0","4"
"196","65.5","63.0","F","63.5","4"
"197","65.5","60.0","M","68.0","5"
"197","65.5","60.0","M","68.0","5"
"197","65.5","60.0","M","67.0","5"
"197","65.5","60.0","M","67.0","5"
"197","65.5","60.0","F","62.0","5"
"198","64.0","64.0","M","71.5","7"
"198","64.0","64.0","M","68.0","7"
"198","64.0","64.0","F","65.5","7"
"198","64.0","64.0","F","64.0","7"
"198","64.0","64.0","F","62.0","7"
"198","64.0","64.0","F","62.0","7"
"198","64.0","64.0","F","61.0","7"
"199","64.0","64.0","M","70.5","7"
"199","64.0","64.0","M","68.0","7"
"199","64.0","64.0","F","67.0","7"
"199","64.0","64.0","F","65.0","7"
"199","64.0","64.0","F","64.0","7"
"199","64.0","64.0","F","64.0","7"
"199","64.0","64.0","F","60.0","7"
"200","64.0","63.0","M","64.5","1"
"201","64.0","60.0","M","66.0","2"
"201","64.0","60.0","F","60.0","2"
"203","62.0","66.0","M","64.0","3"
"203","62.0","66.0","F","62.0","3"
"203","62.0","66.0","F","61.0","3"
"204","62.5","63.0","M","66.5","2"
"204","62.5","63.0","F","57.0","2"
"205","68.5","65.0","M","72.0","8"
"205","68.5","65.0","M","70.5","8"
"205","68.5","65.0","M","68.7","8"
"205","68.5","65.0","M","68.5","8"
"205","68.5","65.0","M","67.7","8"
"205","68.5","65.0","F","64.0","8"
"205","68.5","65.0","F","63.5","8"
"205","68.5","65.0","F","63.0","8"